ESTABLISHMENT_ID,ESTABLISHMENT_NAME,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_NEIGHBORHOOD
9003860,DAIKUANG WAH HERB MARKET,280 SPADINA AVE,Bayview Village
10221407,S.S.2 FAMOUS BAR & RESTAURANT,415 ROYAL YORK RD,Milliken
10359638,FOUR STARS CAFE,1485 DUNDAS ST W,Centennial Scarborough
9017447,WESTON BAKERY,1425 THE QUEENSWAY,Markland Wood
10589044,SHAWARMA BOY INC.,721 PAPE AVE,Etobicoke West Mall
10614619,THE JERK SPOT,790 MILITARY TRL,Rouge
10612624,STEAK SUPREME RESTAURANT,4033 GORDON BAKER RD,Bendale
10528136,TENDERCARE LIVING CENTRE,1020 MCNICOLL AVE,Bendale
10570534,FLOCK ROTISSERIE & GREENS,175 BLOOR ST E,Pelmo Park-Humberlea
9009289,MACELLERIA POTENZA,2635 ISLINGTON AVE,Humber Heights-Westmount
10384493,JUGO JUICE,300 BOROUGH DR,Runnymede-Bloor West Village
10446090,SUPPER WORKS,4868 DUNDAS ST W,Markland Wood
10373068,CONGEE TOWN RESTAURANT,1571 SANDHURST CRCL,Palmerston-Little Italy
10311924,KOSHER AND NATURAL FOODS,3193 BATHURST ST,Mount Dennis
10538546,A PLUS DELI,180 DUNCAN MILL RD,New Toronto
10378731,MCDONALD'S,1890 AVENUE RD,Mount Dennis
10376655,THE GOLDEN CHOPSTICK,271 OLD KINGSTON RD,Humbermede
10623941,FIGS & OLIVES KITCHEN,24 WELLESLEY ST W,Wychwood
10359417,BASIC DOLLAR PLUS,405 PARLIAMENT ST,Yonge-Eglinton
10643896,SOPHIE'S KITCHEN,1614 BAYVIEW AVE,Forest Hill South
10586040,CHARIDISE,27 BALDWIN ST,Bayview Village
10607048,MAJOR TREAT,1158 QUEEN ST W,Centennial Scarborough
10399927,LA PREP,125 QUEENS QUAY  E,St.Andrew-Windfields
10611736,NORTH YORK HARVEST FOOD BANK,2975 DON MILLS RD W,Tam O'Shanter-Sullivan
10501459,GREENWOOD VARIETY,100 UNITY RD,Newtonbrook West
10615491,TORONTO CHRISTMAS MARKET - WINTER WARMERS,55 MILL ST,St.Andrew-Windfields
10604702,ALI BABA'S,561 BLOOR ST W,Taylor-Massey
10256931,PIZZA HUT,2070 QUEEN ST E,Willowridge-Martingrove-Richview
10364417,LAHORE GRILL & FAST FOOD,1274 GERRARD ST E,Newtonbrook West
10335565,WHITEHOUSE MEATS,1523 BAYVIEW AVE,Scarborough Village
10454259,AMS PIZZA & WINGS,162 MAIN ST,Lawrence Park North
10376606,MARQUIS LOUNGE AND BISTRO,92 PETER ST,St.Andrew-Windfields
10370925,SWISS CHALET ROTISSERIE & GRILL,4211 YONGE ST,New Toronto
10502940,COOKIE MARTINEZ,707 DUNDAS ST W,Bayview Village
9010864,NEW TORONTO CO-OPERATIVE NURSERY SCHOOL,153 LAKE SHORE DR,Humewood-Cedarvale
10326044,RINCON DE LA BOCA,1710 EGLINTON AVE W,Guildwood
10574767,Faryab Restaurant,1801 LAWRENCE AVE E,Waterfront Communities-The Island
10587146,WESTON BBQ RESTAURANT,1872 WESTON RD,Wexford/Maryvale
10280778,DOMINO'S PIZZA,312 QUEEN ST E,Malvern
9011790,PEMBROKE LODGE,41 PEMBROKE ST,Malvern
10485371,LA PREP,4950 YONGE ST,Thistletown-Beaumond Heights
10594109,Lao Thai Restaurant,2 GLADSTONE AVE,Centennial Scarborough
10442746,GLORY HOLE DONUTS,1596 QUEEN ST W,Woodbine-Lumsden
10630321,WILBY & CO.,81 BARBER GREENE RD,South Parkdale
10379445,ROYAL BANK PLAZA - EXECUTIVE DINING ROOM - 40TH FL,200 BAY ST,Wychwood
10609337,U-NARU SUSHI,825 COXWELL AVE,Princess-Rosethorn
